Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Naruto Shippuden: Ultimate Ninja Storm 4,XOne,2016.0,Fighting,Namco Bandai Games,0.21,0.07,0.0,0.03,0.3,81.0,11.0,8.0,51.0,CyberConnect2,T
Batman: Arkham VR,PS4,2016.0,Action,Warner Bros. Interactive Entertainment,0.25,0.0,0.0,0.06,0.3,75.0,59.0,7.0,89.0,Rocksteady Studios,M
24: The Game,PS2,2006.0,Adventure,Sony Computer Entertainment,0.15,0.12,0.0,0.04,0.3,62.0,53.0,8.0,40.0,SCE Studio Cambridge,M
The King of Fighters XIII,PS3,2011.0,Fighting,Rising Star Games,0.17,0.06,0.04,0.03,0.3,77.0,26.0,8.0,76.0,SNK Playmore,T
Tom Clancy's Splinter Cell 3D,3DS,2011.0,Action,Ubisoft,0.14,0.07,0.07,0.02,0.3,53.0,32.0,6.0,26.0,Ubisoft,T
Magna Carta 2,X360,2009.0,Role-Playing,Banpresto,0.13,0.07,0.07,0.02,0.3,69.0,49.0,7.0,57.0,"Banpresto, SoftMax",T
Romance of the Three Kingdoms VIII,PS2,2002.0,Strategy,Tecmo Koei,0.05,0.04,0.19,0.01,0.3,77.0,14.0,9.0,17.0,Koei,E
F1 2013,X360,2013.0,Racing,Codemasters,0.01,0.27,0.0,0.02,0.3,79.0,29.0,7.0,33.0,Codemasters,E
Crazy Taxi: Catch a Ride,GBA,2003.0,Racing,THQ,0.21,0.08,0.0,0.01,0.3,48.0,14.0,6.0,8.0,Graphic State,E
Final Fantasy XI: Wings of the Goddess,X360,2007.0,Role-Playing,Square Enix,0.26,0.0,0.02,0.02,0.3,63.0,4.0,6.0,5.0,Square Enix,T
PowerUp Heroes,X360,2011.0,Fighting,Ubisoft,0.18,0.09,0.0,0.03,0.3,61.0,13.0,8.0,10.0,Ubisoft,E10+
Rayman 2: Revolution,PS2,2000.0,Platform,Ubisoft,0.15,0.11,0.0,0.04,0.3,90.0,16.0,8.0,42.0,Ubisoft,E
Madden NFL 13,PSV,2012.0,Sports,Electronic Arts,0.28,0.0,0.0,0.02,0.3,63.0,6.0,7.0,38.0,EA Tiburon,E
Army Men: Air Attack 2,PS,2000.0,Action,3DO,0.17,0.11,0.0,0.02,0.3,74.0,8.0,5.0,4.0,3DO,T
Stranglehold,PS3,2007.0,Shooter,Midway Games,0.24,0.02,0.0,0.03,0.3,77.0,22.0,8.0,48.0,Midway,M
Pride FC: Fighting Championships,PS2,2003.0,Fighting,THQ,0.15,0.11,0.0,0.04,0.3,73.0,19.0,9.0,7.0,Anchor,M
Eternal Ring,PS2,2000.0,Role-Playing,Ubisoft,0.1,0.07,0.1,0.03,0.3,62.0,13.0,5.0,9.0,From Software,T
Resident Evil Archives: Resident Evil,Wii,2008.0,Action,Capcom,0.16,0.04,0.08,0.02,0.3,76.0,11.0,9.0,41.0,Capcom,M
Dynasty Warriors 6,X360,2007.0,Action,Tecmo Koei,0.15,0.06,0.06,0.02,0.3,60.0,42.0,7.0,22.0,Omega Force,T
Silent Hill: Shattered Memories,PSP,2010.0,Action,Konami Digital Entertainment,0.09,0.13,0.01,0.07,0.3,73.0,28.0,8.0,43.0,"Climax Group, Climax Studios",M
Dance Dance Revolution Universe 3,X360,2008.0,Simulation,Konami Digital Entertainment,0.28,0.0,0.0,0.02,0.3,65.0,6.0,8.0,7.0,Konami,E
Showdown: Legends of Wrestling,PS2,2004.0,Fighting,Acclaim Entertainment,0.15,0.11,0.0,0.04,0.3,55.0,24.0,6.0,7.0,Acclaim,T
Sword Art Online: Hollow Fragment,PSV,2014.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.3,0.0,0.3,67.0,28.0,8.0,131.0,Bandai Namco Games,T
Full Spectrum Warrior,PS2,2005.0,Strategy,THQ,0.15,0.11,0.0,0.04,0.3,74.0,24.0,8.0,13.0,Pandemic Studios,M
The Sims 2: Pets,PS2,2006.0,Simulation,Electronic Arts,0.02,0.01,0.0,0.27,0.3,68.0,27.0,8.0,25.0,Maxis,T
Fist of the North Star: Ken's Rage 2,PS3,2012.0,Fighting,Tecmo Koei,0.0,0.0,0.3,0.0,0.3,49.0,19.0,7.0,19.0,"Koei, Omega Force",M
MLB SlugFest Loaded,PS2,2004.0,Sports,Midway Games,0.14,0.11,0.0,0.04,0.3,77.0,30.0,10.0,4.0,Point of View,T
Teenage Mutant Ninja Turtles,XB,2003.0,Action,Konami Digital Entertainment,0.22,0.06,0.0,0.01,0.3,56.0,22.0,8.0,9.0,Konami,E
Capcom Classics Collection Remixed,PSP,2006.0,Misc,Capcom,0.27,0.0,0.0,0.02,0.3,72.0,37.0,7.0,5.0,Digital Eclipse,T
1701 A.D.,PC,2006.0,Simulation,Deep Silver,0.0,0.25,0.0,0.04,0.3,79.0,30.0,8.0,38.0,Related Designs,E10+
Lego Star Wars: The Force Awakens,XOne,2016.0,Action,Warner Bros. Interactive Entertainment,0.14,0.13,0.0,0.02,0.3,76.0,11.0,7.0,18.0,TT Games,E10+
Little Deviants,PSV,2011.0,Platform,Sony Computer Entertainment,0.14,0.12,0.0,0.04,0.3,57.0,62.0,6.0,53.0,Bigbig Studios,E10+
Spider-Man 3,PSP,2007.0,Platform,Activision,0.01,0.23,0.0,0.05,0.3,52.0,7.0,7.0,9.0,Treyarch,T
Radiant Historia,DS,2010.0,Role-Playing,Atlus,0.19,0.0,0.09,0.01,0.29,85.0,30.0,9.0,81.0,Atlus,E10+
Sorcery,PS3,2012.0,Action,Sony Computer Entertainment,0.14,0.11,0.0,0.05,0.29,70.0,52.0,7.0,57.0,The Workshop,E10+
Harry Potter and the Order of the Phoenix,X360,2007.0,Action,Electronic Arts,0.24,0.03,0.0,0.02,0.29,68.0,38.0,7.0,20.0,EA Games,E10+
Grandia II,PS2,2002.0,Role-Playing,Ubisoft,0.14,0.11,0.0,0.04,0.29,71.0,19.0,9.0,31.0,Game Arts,T
Shaun White Snowboarding: World Stage,Wii,2009.0,Sports,Ubisoft,0.24,0.03,0.0,0.02,0.29,72.0,33.0,9.0,30.0,Ubisoft,E
Spider-Man: Friend or Foe,X360,2007.0,Action,Activision,0.26,0.01,0.0,0.02,0.29,60.0,51.0,6.0,26.0,Next Level Games,E10+
Guitar Hero: Van Halen,X360,2009.0,Misc,Activision,0.16,0.1,0.0,0.03,0.29,57.0,34.0,6.0,17.0,"Neversoft Entertainment, Underground Development",T
Batman: The Brave and the Bold the Videogame,DS,2010.0,Action,Warner Bros. Interactive Entertainment,0.23,0.04,0.0,0.02,0.29,74.0,14.0,8.0,8.0,WayForward,E10+
The Sims 2,PC,2004.0,Simulation,Electronic Arts,0.02,0.24,0.0,0.04,0.29,90.0,61.0,9.0,676.0,Maxis,T
Need for Speed Underground,GBA,2003.0,Racing,Electronic Arts,0.21,0.08,0.0,0.01,0.29,77.0,9.0,8.0,25.0,Pocketeers,E
Def Jam Rapstar,X360,2010.0,Misc,Konami Digital Entertainment,0.25,0.02,0.0,0.02,0.29,74.0,36.0,5.0,9.0,"Terminal Reality, 4mm Games",T
Outlaw Golf,XB,2002.0,Sports,TDK Mediactive,0.22,0.06,0.0,0.01,0.29,72.0,23.0,7.0,9.0,Simon & Schuster,T
MySims SkyHeroes,Wii,2010.0,Action,Electronic Arts,0.16,0.1,0.0,0.03,0.29,67.0,9.0,5.0,5.0,Electronic Arts,E10+
Mini Ninjas,X360,2009.0,Action,Eidos Interactive,0.12,0.14,0.0,0.03,0.29,73.0,44.0,8.0,38.0,Io Interactive,E10+
NBA Street V3,GC,2005.0,Sports,Electronic Arts,0.23,0.06,0.0,0.01,0.29,88.0,36.0,8.0,16.0,EA Canada,E
WinBack: Covert Operations,PS2,2000.0,Shooter,Midas Interactive Entertainment,0.14,0.11,0.0,0.04,0.29,66.0,11.0,8.0,20.0,Omega Force,T
Syphon Filter: Dark Mirror,PSP,2006.0,Shooter,Sony Computer Entertainment,0.26,0.01,0.0,0.03,0.29,87.0,58.0,9.0,118.0,Sony Bend,M
Glory of Heracles,DS,2008.0,Role-Playing,Nintendo,0.19,0.0,0.08,0.01,0.29,69.0,23.0,7.0,18.0,Paon Corporation,E10+
Up,X360,2009.0,Action,THQ,0.2,0.07,0.0,0.03,0.29,61.0,18.0,7.0,6.0,Heavy Iron Studios,E10+
Modnation Racers: Road Trip,PSV,2012.0,Racing,Sony Computer Entertainment,0.15,0.09,0.0,0.04,0.29,62.0,51.0,6.0,69.0,SCEA,E
NBA Live 06,X360,2005.0,Sports,Electronic Arts,0.27,0.0,0.0,0.02,0.29,64.0,35.0,6.0,16.0,EA Canada,E
ExerBeat,Wii,2010.0,Sports,Namco Bandai Games,0.1,0.16,0.0,0.03,0.29,60.0,9.0,8.0,5.0,Namco Bandai Games,E
Need for Speed: Most Wanted,PC,2005.0,Racing,Electronic Arts,0.02,0.23,0.0,0.04,0.29,82.0,19.0,8.0,525.0,Black Box,T
Front Mission Evolved,PS3,2010.0,Shooter,Square Enix,0.09,0.06,0.11,0.03,0.29,58.0,42.0,6.0,30.0,Double Helix Games,T
Ultimate Marvel vs. Capcom 3,PSV,2011.0,Fighting,Capcom,0.17,0.08,0.0,0.04,0.29,80.0,48.0,8.0,93.0,Capcom,T
Little King's Story,Wii,2009.0,Strategy,Rising Star Games,0.14,0.1,0.02,0.02,0.29,87.0,50.0,9.0,86.0,Cing,T
Dynasty Warriors: Strikeforce,PS3,2009.0,Action,Tecmo Koei,0.11,0.07,0.07,0.03,0.29,64.0,27.0,7.0,15.0,Omega Force,T
NieR,X360,2010.0,Role-Playing,Square Enix,0.13,0.1,0.04,0.02,0.29,67.0,60.0,8.0,126.0,Cavia Inc.,M
Zoo Tycoon 2 DS,DS,2008.0,Strategy,THQ,0.24,0.03,0.0,0.02,0.29,60.0,17.0,5.0,7.0,Altron,E
Area 51,XB,2005.0,Shooter,Midway Games,0.22,0.06,0.0,0.01,0.29,72.0,43.0,8.0,16.0,Midway Studios - Austin,M
Deadpool,PS4,2015.0,Action,Activision,0.14,0.11,0.0,0.05,0.29,60.0,11.0,6.0,68.0,High Moon Studios,M
UEFA Euro 2016,PS4,2016.0,Sports,Konami Digital Entertainment,0.0,0.22,0.04,0.04,0.29,72.0,7.0,7.0,8.0,Konami,E
Wanted: Weapons of Fate,PS3,2009.0,Shooter,Warner Bros. Interactive Entertainment,0.14,0.1,0.01,0.04,0.29,61.0,56.0,7.0,25.0,GRIN,M
Mega Man X8,PS2,2004.0,Platform,Capcom,0.14,0.11,0.0,0.04,0.29,68.0,23.0,8.0,63.0,"Valuewave Co.,Ltd.",E
The Chronicles of Riddick: Assault on Dark Athena,X360,2009.0,Shooter,Atari,0.16,0.1,0.0,0.03,0.29,82.0,67.0,8.0,73.0,Starbreeze,M
Ford Mustang: The Legend Lives,PS2,2005.0,Racing,Take-Two Interactive,0.14,0.11,0.0,0.04,0.29,58.0,5.0,7.0,8.0,Eutechnyx,E
FlatOut: Head On,PSP,2008.0,Racing,Empire Interactive,0.13,0.1,0.0,0.06,0.29,74.0,28.0,8.0,21.0,Bugbear,T
Duel Masters: Sempai Legends,GBA,2003.0,Misc,Atari,0.21,0.08,0.0,0.01,0.29,69.0,19.0,8.0,5.0,Mistic Software,E
Harvest Moon: Magical Melody,Wii,2008.0,Simulation,Rising Star Games,0.23,0.03,0.0,0.02,0.29,69.0,14.0,9.0,17.0,Marvelous Entertainment,E
Heroes of the Pacific,PS2,2005.0,Simulation,Codemasters,0.14,0.11,0.0,0.04,0.29,76.0,31.0,8.0,15.0,IR Gurus,T
Prince of Persia: Rival Swords,Wii,2007.0,Action,Ubisoft,0.24,0.02,0.0,0.02,0.29,70.0,30.0,8.0,21.0,Ubisoft Montreal,T
The Lord of the Rings: The Third Age,GC,2004.0,Role-Playing,Electronic Arts,0.22,0.06,0.0,0.01,0.29,74.0,25.0,8.0,19.0,EA Games,T
Trace Memory,DS,2005.0,Adventure,Nintendo,0.15,0.01,0.12,0.01,0.29,70.0,51.0,8.0,42.0,Cing,T
X-Men Legends II: Rise of Apocalypse,PSP,2005.0,Role-Playing,Activision,0.25,0.01,0.0,0.02,0.29,84.0,30.0,8.0,43.0,Vicarious Visions,T
Borderlands: The Pre-Sequel,PC,2014.0,Shooter,Take-Two Interactive,0.11,0.15,0.0,0.02,0.29,75.0,55.0,6.0,703.0,2K Australia,M
Madden NFL 08,XB,2007.0,Sports,Electronic Arts,0.22,0.06,0.0,0.01,0.29,76.0,6.0,6.0,4.0,EA Tiburon,E
Trauma Center: New Blood,Wii,2007.0,Simulation,Nintendo,0.22,0.04,0.01,0.02,0.29,77.0,43.0,8.0,20.0,Atlus,T
Starhawk,PS3,2012.0,Action,Sony Computer Entertainment,0.18,0.05,0.03,0.03,0.29,77.0,71.0,8.0,188.0,LightBox Interactive,T
Pirates of the Caribbean,XB,2003.0,Role-Playing,Ubisoft,0.22,0.06,0.0,0.01,0.29,65.0,30.0,7.0,27.0,Akella,T
FIFA Soccer 13,3DS,2012.0,Action,Electronic Arts,0.06,0.2,0.0,0.03,0.29,68.0,4.0,4.0,16.0,Electronic Arts,E
Ace Combat: Joint Assault,PSP,2010.0,Simulation,Namco Bandai Games,0.06,0.05,0.15,0.03,0.29,71.0,30.0,7.0,12.0,Project Aces,T
The BIGS 2,Wii,2009.0,Sports,Take-Two Interactive,0.26,0.01,0.0,0.02,0.29,68.0,5.0,8.0,6.0,Blue Castle Games,E10+
Turning Point: Fall of Liberty,X360,2008.0,Shooter,Codemasters,0.23,0.04,0.0,0.02,0.29,43.0,44.0,7.0,87.0,Spark Unlimited,T
Sonic Boom: Shattered Crystal,3DS,2014.0,Action,Sega,0.17,0.09,0.0,0.03,0.29,47.0,21.0,6.0,160.0,Sanzaru Games,E
Shrek Super Party,PS2,2002.0,Misc,TDK Mediactive,0.14,0.11,0.0,0.04,0.29,30.0,4.0,5.0,17.0,Mass Media,E
MLB Power Pros,Wii,2007.0,Sports,Konami Digital Entertainment,0.23,0.0,0.04,0.02,0.29,83.0,12.0,8.0,45.0,Konami,E
"Sakura Wars: So Long, My Love",PS2,2005.0,Role-Playing,Sega,0.07,0.05,0.15,0.02,0.29,81.0,15.0,7.0,26.0,RED Entertainment,T
Dynasty Tactics,PS2,2002.0,Strategy,Tecmo Koei,0.06,0.05,0.16,0.02,0.29,79.0,14.0,8.0,31.0,Koei,T
Call of Juarez: The Cartel,PS3,2011.0,Shooter,Ubisoft,0.12,0.12,0.0,0.05,0.29,45.0,42.0,6.0,74.0,Techland,M
Angry Birds Star Wars,PS3,2013.0,Strategy,Activision,0.1,0.14,0.0,0.05,0.29,49.0,6.0,4.0,23.0,Exient Entertainment,E
Metal Gear Solid V: Ground Zeroes,XOne,2014.0,Action,Konami Digital Entertainment,0.15,0.11,0.0,0.02,0.29,76.0,13.0,5.0,348.0,Kojima Productions,M
SimCity 4,PC,2003.0,Simulation,Electronic Arts,0.01,0.24,0.0,0.03,0.29,84.0,36.0,9.0,268.0,Maxis,E
Puzzle Quest: Challenge of the Warlords,Wii,2007.0,Puzzle,D3Publisher,0.26,0.0,0.0,0.02,0.29,71.0,17.0,6.0,5.0,Vicious Cycle,E10+
Disgaea 5: Alliance of Vengeance,PS4,2015.0,Role-Playing,Nippon Ichi Software,0.11,0.08,0.06,0.04,0.29,80.0,43.0,8.0,173.0,Nippon Ichi Software,T
Sengoku Basara: Samurai Heroes,Wii,2010.0,Action,Capcom,0.06,0.01,0.2,0.01,0.29,65.0,18.0,9.0,13.0,Capcom,T
Rayman 3: Hoodlum Havoc,PS2,2003.0,Platform,Ubisoft,0.14,0.11,0.0,0.04,0.29,76.0,21.0,9.0,38.0,Ubisoft,E
Warriors Orochi 2,PSP,2008.0,Action,Tecmo Koei,0.06,0.0,0.22,0.01,0.29,56.0,14.0,8.0,4.0,Omega Force,T
Feel the Magic XY/XX,DS,2004.0,Puzzle,Sega,0.17,0.0,0.1,0.02,0.29,75.0,55.0,8.0,18.0,Sonic Team,T
Psi-Ops: The Mindgate Conspiracy,PS2,2004.0,Shooter,Midway Games,0.14,0.11,0.0,0.04,0.29,84.0,46.0,9.0,27.0,Midway,M
Dead Rising: Chop Till You Drop,Wii,2009.0,Action,Capcom,0.15,0.07,0.05,0.02,0.29,61.0,30.0,6.0,35.0,TOSE,M
Spyro: A Hero's Tail,GC,2004.0,Platform,Vivendi Games,0.22,0.06,0.0,0.01,0.29,62.0,13.0,8.0,10.0,Eurocom Entertainment Software,E
NASCAR 08,X360,2007.0,Racing,Electronic Arts,0.26,0.0,0.0,0.02,0.29,59.0,29.0,5.0,30.0,EA Tiburon,E
World of Tanks,PC,2011.0,Shooter,Wargaming.net,0.0,0.23,0.0,0.05,0.29,80.0,38.0,4.0,1466.0,Wargaming.net,T
Links 2004,XB,2003.0,Sports,Microsoft Game Studios,0.21,0.06,0.0,0.01,0.29,80.0,41.0,9.0,9.0,Indie Built,E
Majin and the Forsaken Kingdom,PS3,2010.0,Adventure,Namco Bandai Games,0.09,0.13,0.01,0.05,0.29,72.0,49.0,8.0,35.0,Game Republic,T
Assassin's Creed IV: Black Flag,WiiU,2013.0,Action,Ubisoft,0.17,0.09,0.0,0.03,0.29,86.0,5.0,8.0,207.0,Ubisoft,M
Earthworm Jim,GBA,2001.0,Platform,Interplay,0.2,0.08,0.0,0.01,0.29,72.0,10.0,6.0,6.0,Game Titan,E
Tales of Phantasia,GBA,2003.0,Role-Playing,Nintendo,0.08,0.03,0.17,0.01,0.29,76.0,29.0,8.0,24.0,Namco,E10+
Monster 4x4: Masters of Metal,PS2,2003.0,Racing,Ubisoft,0.14,0.11,0.0,0.04,0.28,48.0,9.0,8.0,13.0,Ubisoft,E
Dragon Ball GT: Transformation,GBA,2005.0,Action,Atari,0.2,0.08,0.0,0.01,0.28,69.0,12.0,8.0,26.0,Webfoot Technologies,E10+
FIFA 15,PC,2014.0,Sports,Electronic Arts,0.0,0.27,0.0,0.02,0.28,82.0,9.0,4.0,383.0,EA Sports,E
The Warriors,XB,2005.0,Action,Take-Two Interactive,0.21,0.06,0.0,0.01,0.28,85.0,55.0,8.0,21.0,Rockstar Toronto,M
Shadow Hearts,PS2,2001.0,Role-Playing,Midway Games,0.09,0.07,0.1,0.02,0.28,73.0,24.0,9.0,55.0,Sacnoth,M
Dragon Ball Z: Budokai Tenkaichi 2,Wii,2006.0,Fighting,Atari,0.24,0.03,0.0,0.02,0.28,72.0,37.0,8.0,40.0,Spike,T
Street Hoops,XB,2002.0,Sports,Activision,0.21,0.06,0.0,0.01,0.28,58.0,22.0,8.0,4.0,Black Ops Entertainment,T
R: Racing Evolution,PS2,2003.0,Racing,Namco Bandai Games,0.14,0.11,0.0,0.04,0.28,66.0,35.0,6.0,5.0,Namco,T
The Golden Compass,PS3,2007.0,Action,Sega,0.14,0.1,0.0,0.05,0.28,40.0,17.0,5.0,16.0,Shiny Entertainment,E10+
ATV Quad Power Racing 2,GC,2003.0,Racing,Acclaim Entertainment,0.22,0.06,0.0,0.01,0.28,70.0,18.0,9.0,4.0,Climax Group,E
Hatsune Miku: Project Diva f,PS3,2013.0,Misc,Sega,0.08,0.0,0.19,0.02,0.28,73.0,10.0,8.0,108.0,Sega,T
Marvel Nemesis: Rise of the Imperfects,XB,2005.0,Fighting,Electronic Arts,0.21,0.06,0.0,0.01,0.28,58.0,34.0,8.0,20.0,"EA Canada, Nihilistic",T
Final Fantasy VI Advance,GBA,2006.0,Role-Playing,Nintendo,0.0,0.0,0.28,0.01,0.28,92.0,25.0,8.0,190.0,TOSE,E10+
LEGO The Lord of the Rings,PSV,2012.0,Action,Warner Bros. Interactive Entertainment,0.09,0.13,0.0,0.06,0.28,54.0,8.0,6.0,35.0,TT Games,E10+
Viewtiful Joe,PS2,2004.0,Action,Capcom,0.14,0.11,0.0,0.04,0.28,90.0,34.0,8.0,35.0,Clover Studio,T
DeathSmiles,X360,2009.0,Shooter,Rising Star Games,0.15,0.06,0.05,0.02,0.28,76.0,29.0,8.0,47.0,Cave,T
Fable: The Journey,X360,2012.0,Role-Playing,Microsoft Game Studios,0.18,0.08,0.0,0.02,0.28,61.0,70.0,5.0,80.0,Lionhead Studios,T
Bladestorm: The Hundred Years' War,PS3,2007.0,Action,Tecmo Koei,0.1,0.03,0.14,0.02,0.28,58.0,23.0,8.0,28.0,Omega Force,T
SAW,X360,2009.0,Action,Konami Digital Entertainment,0.13,0.12,0.0,0.03,0.28,59.0,39.0,7.0,50.0,Zombie Studios,M
Chromehounds,X360,2006.0,Simulation,Sega,0.24,0.0,0.01,0.02,0.28,71.0,60.0,7.0,72.0,From Software,T
Harry Potter and the Sorcerer's Stone,PS2,2003.0,Action,Electronic Arts,0.14,0.11,0.0,0.04,0.28,56.0,14.0,8.0,21.0,Warthog,E
Kung Fu Chaos,XB,2003.0,Fighting,Microsoft Game Studios,0.21,0.06,0.0,0.01,0.28,68.0,41.0,8.0,27.0,Just Add Monsters,T
Shrek the Third,Wii,2007.0,Action,Activision,0.25,0.01,0.0,0.02,0.28,57.0,28.0,7.0,7.0,Amaze Entertainment,E10+
Jackass the Game,PS2,2007.0,Action,Empire Interactive,0.14,0.11,0.0,0.04,0.28,58.0,24.0,7.0,14.0,Sidhe Interactive,M
Pirates of the Caribbean: Dead Man's Chest,PSP,2006.0,Adventure,Disney Interactive Studios,0.25,0.0,0.0,0.02,0.28,52.0,34.0,8.0,17.0,Griptonite Games,T
Operation Flashpoint: Red River,X360,2011.0,Shooter,Codemasters,0.1,0.14,0.01,0.03,0.28,69.0,64.0,6.0,29.0,Codemasters,M
Transformers: Dark of the Moon,X360,2011.0,Action,Activision,0.13,0.12,0.0,0.03,0.28,59.0,53.0,7.0,30.0,High Moon Studios,T
Surf's Up,DS,2007.0,Sports,Ubisoft,0.26,0.0,0.0,0.02,0.28,56.0,5.0,7.0,4.0,Ubisoft Quebec,E
Assassin's Creed II: Discovery,DS,2009.0,Action,Ubisoft,0.15,0.11,0.0,0.03,0.28,69.0,20.0,7.0,22.0,Griptonite Games,T
Syphon Filter: Dark Mirror,PS2,2007.0,Shooter,Sony Computer Entertainment,0.14,0.11,0.0,0.04,0.28,70.0,24.0,8.0,12.0,Sony Bend,T
Mission: Impossible - Operation Surma,PS2,2003.0,Platform,Atari,0.14,0.11,0.0,0.04,0.28,64.0,30.0,8.0,10.0,Paradigm Entertainment,T
MLB 07: The Show,PSP,2007.0,Sports,Sony Computer Entertainment,0.26,0.0,0.0,0.02,0.28,82.0,12.0,7.0,10.0,SCEA San Diego Studios,E
Driver: Parallel Lines,PS2,2006.0,Racing,Atari,0.12,0.1,0.03,0.03,0.28,69.0,41.0,7.0,74.0,Reflections Interactive,M
Mega Man ZX,DS,2006.0,Platform,Capcom,0.16,0.0,0.1,0.02,0.28,76.0,37.0,8.0,32.0,Inti Creates,E
Backyard Wrestling 2: There Goes the Neighborhood,PS2,2004.0,Fighting,Eidos Interactive,0.14,0.11,0.0,0.04,0.28,46.0,23.0,5.0,10.0,Paradox Development,M
Guitar Hero: Van Halen,Wii,2009.0,Misc,Activision,0.13,0.12,0.0,0.03,0.28,50.0,12.0,5.0,6.0,Neversoft Entertainment,T
Dead or Alive,PS,1998.0,Fighting,Sony Computer Entertainment,0.09,0.06,0.1,0.02,0.28,84.0,10.0,9.0,18.0,Team Ninja,T
Dead to Rights: Retribution,PS3,2010.0,Shooter,Namco Bandai Games,0.1,0.12,0.02,0.05,0.28,60.0,44.0,6.0,27.0,Volatile Games,M
Wild ARMs 5,PS2,2006.0,Role-Playing,505 Games,0.14,0.11,0.0,0.04,0.28,71.0,26.0,8.0,22.0,Media Vision,T
NFL Blitz 20-02,PS2,2002.0,Sports,Midway Games,0.14,0.11,0.0,0.04,0.28,76.0,22.0,9.0,15.0,Midway,E
El Shaddai: Ascension of the Metatron,PS3,2011.0,Action,Ignition Entertainment,0.11,0.06,0.08,0.03,0.28,78.0,46.0,8.0,40.0,Ignition Entertainment,T
Tony Hawk: Shred,PS3,2010.0,Sports,Activision,0.18,0.06,0.0,0.04,0.28,56.0,5.0,7.0,6.0,Robomodo,E
NCAA March Madness 2005,XB,2004.0,Sports,Electronic Arts,0.21,0.06,0.0,0.01,0.28,80.0,18.0,8.0,4.0,EA Canada,E
Kenka Bancho: Badass Rumble,PSP,2008.0,Action,Spike,0.06,0.0,0.2,0.01,0.28,70.0,21.0,8.0,6.0,Bullets,T
Silent Hill 2: Restless Dreams,XB,2001.0,Action,Konami Digital Entertainment,0.21,0.06,0.0,0.01,0.28,84.0,23.0,8.0,39.0,KCET,M
NES Remix,WiiU,2014.0,Action,Nintendo,0.17,0.0,0.08,0.02,0.28,71.0,34.0,7.0,133.0,Indies Zero,E
Bass Strike,PS2,2001.0,Sports,THQ,0.14,0.11,0.0,0.04,0.28,57.0,11.0,6.0,4.0,THQ,E
NHL Hitz 20-03,PS2,2002.0,Sports,Midway Games,0.14,0.11,0.0,0.04,0.28,82.0,19.0,8.0,11.0,Midway,E
Bionic Commando,X360,2009.0,Platform,Capcom,0.12,0.12,0.01,0.03,0.28,70.0,65.0,7.0,87.0,GRIN,M
Monopoly Streets,X360,2010.0,Misc,Electronic Arts,0.16,0.09,0.0,0.02,0.28,66.0,18.0,7.0,16.0,Electronic Arts,E
Trivial Pursuit,PS3,2009.0,Misc,Electronic Arts,0.12,0.11,0.0,0.05,0.28,66.0,13.0,7.0,7.0,EA Bright Light,E
Medieval Moves: Deadmund's Quest,PS3,2011.0,Action,Sony Computer Entertainment,0.13,0.11,0.0,0.04,0.28,61.0,41.0,6.0,17.0,Zindagi Games,E10+
Mister Mosquito,PS2,2001.0,Shooter,Eidos Interactive,0.05,0.04,0.17,0.01,0.28,65.0,23.0,5.0,11.0,Zoom,T
Rugby World Cup 2011,X360,2011.0,Sports,505 Games,0.03,0.21,0.0,0.04,0.28,55.0,14.0,4.0,13.0,HB Studios Multimedia,E
Virtua Fighter 5 Online,X360,2007.0,Fighting,Sega,0.2,0.02,0.03,0.02,0.28,89.0,36.0,8.0,62.0,Sega AM2,T
Indiana Jones and the Staff of Kings,PS2,2009.0,Action,Activision,0.11,0.01,0.0,0.16,0.28,55.0,4.0,8.0,13.0,LucasArts,T
Angry Birds Star Wars,X360,2013.0,Strategy,Activision,0.16,0.1,0.0,0.02,0.28,59.0,3.0,6.0,25.0,Exient Entertainment,E
Dave Mirra Freestyle BMX 2,GC,2001.0,Sports,Acclaim Entertainment,0.21,0.06,0.0,0.01,0.28,78.0,15.0,8.0,10.0,"Z-Axis, Ltd.",T
One Piece: Unlimited World Red,PS3,2014.0,Action,Namco Bandai Games,0.09,0.1,0.06,0.04,0.28,71.0,28.0,7.0,46.0,Ganbarion,T
True Crime: New York City,XB,2005.0,Action,Activision,0.21,0.06,0.0,0.01,0.28,60.0,43.0,8.0,17.0,Exakt,M
Summer Heat Beach Volleyball,PS2,2003.0,Sports,Acclaim Entertainment,0.14,0.11,0.0,0.04,0.28,65.0,21.0,8.0,19.0,Acclaim Studios Cheltenham,T
Avatar: The Last Airbender,Wii,2006.0,Adventure,THQ,0.23,0.02,0.0,0.02,0.28,56.0,15.0,6.0,8.0,AWE Games,E10+
Castlevania: Aria of Sorrow,GBA,2003.0,Platform,Konami Digital Entertainment,0.2,0.07,0.0,0.0,0.28,91.0,29.0,9.0,127.0,KCET,T
Myst III: Exile,PS2,2002.0,Adventure,Ubisoft,0.14,0.11,0.0,0.04,0.28,57.0,9.0,7.0,4.0,Presto Studios,E
Shin Megami Tensei: Strange Journey,DS,2009.0,Role-Playing,Atlus,0.13,0.0,0.14,0.01,0.28,80.0,26.0,9.0,69.0,Atlus,M
